ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
2001 , 5BZQJ0745+3313 , 07 45 59.32 , +33 13 34.1 , 0.61  , 18.6 , QSO RLoud flat radio sp. , 128 , 0 , 0.44 , 0
2002 , 5BZQJ0745-0044 , 07 45 54.07 , -00 44 17.48 , 0.994  , 17.2 , QSO RLoud flat radio sp. , 661 , 0 , 0.78 , 0
2003 , 5BZQJ0746+2549 , 07 46 25.86 , +25 49 02.1 , 2.979  , 19.5 , QSO RLoud flat radio sp. , 417 , 0 , 0.38 , 6e-10
2004 , 5BZQJ0746-5618 , 07 46 58.21 , -56 18 33.51 , 1.14  , 20 , QSO RLoud flat radio sp. , 56 , 0 , 0 , 0
2005 , 5BZQJ0747-6744 , 07 47 04.99 , -67 44 40.3 , 1.025  , 18.8 , QSO RLoud flat radio sp. , 28 , 0 , 0.07 , 0
2006 , 5BZQJ0748+2400 , 07 48 36.11 , +24 00 24.08 , 0.409  , 18.6 , QSO RLoud flat radio sp. , 958 , 769 , 1.24 , 0
2007 , 5BZQJ0748-5258 , 07 48 12.66 , -52 58 31.79 , 1.802  , 17.9 , QSO RLoud flat radio sp. , 180 , 0 , 0.08 , 0
2008 , 5BZQJ0749+4510 , 07 49 06.49 , +45 10 33.81 , 0.192  , 16.7 , QSO RLoud flat radio sp. , 147 , 0 , 1.39 , 5e-10
2009 , 5BZQJ0749+7420 , 07 49 22.45 , +74 20 41.6 , 1.629  , 18.5 , QSO RLoud flat radio sp. , 509 , 0 , 0.1 , 0
2010 , 5BZQJ0750+1021 , 07 50 32.88 , +10 21 26.71 , 1.117  , 20.1 , QSO RLoud flat radio sp. , 153 , 0 , 0 , 0
2011 , 5BZQJ0750+1231 , 07 50 52.04 , +12 31 04.8 , 0.889  , 17.3 , QSO RLoud flat radio sp. , 1453 , 2038 , 1.73 , 1.5e-9
2012 , 5BZQJ0750+1823 , 07 50 00.33 , +18 23 11.4 , 1.161  , 19.6 , QSO RLoud flat radio sp. , 179 , 420 , 0.14 , 0
2013 , 5BZQJ0750+4814 , 07 50 20.44 , +48 14 53.59 , 1.957  , 18.4 , QSO RLoud flat radio sp. , 716 , 0 , 0.21 , 0
2014 , 5BZQJ0750-6726 , 07 50 59.54 , -67 26 22.59 , 1.237  , 17.9 , QSO RLoud flat radio sp. , 63 , 0 , 0.15 , 0
2015 , 5BZQJ0751+3313 , 07 51 53.66 , +33 13 19.81 , 1.938  , 19.6 , QSO RLoud flat radio sp. , 567 , 0 , 0 , 0
2016 , 5BZQJ0751-0046 , 07 51 10.2 , -00 46 51.09 , 2.101  , 19.7 , QSO RLoud flat radio sp. , 218 , 0 , 0.03 , 0
2017 , 5BZQJ0752+3730 , 07 52 40.91 , +37 30 24.29 , 0.44  , 20.3 , QSO RLoud flat radio sp. , 114 , 0 , 0.24 , 0
2018 , 5BZQJ0754+3033 , 07 54 48.84 , +30 33 55.0 , 0.796  , 17.4 , QSO RLoud flat radio sp. , 48 , 0 , 0.86 , 0
2019 , 5BZQJ0756-1542 , 07 56 50.7 , -15 42 05.39 , 1.42  , 18.1 , QSO RLoud flat radio sp. , 834 , 0 , 0.41 , 0
2020 , 5BZQJ0800+5010 , 08 00 36.0 , +50 10 44.4 , 1.613  , 16.9 , QSO RLoud flat radio sp. , 110 , 0 , 0 , 0
2021 , 5BZQJ0802+1809 , 08 02 48.04 , +18 09 48.99 , 1.586  , 20.6 , QSO RLoud flat radio sp. , 503 , 0 , 0 , 0
2022 , 5BZQJ0805+6144 , 08 05 18.14 , +61 44 24.0 , 3.033  , 19.7 , QSO RLoud flat radio sp. , 828 , 0 , 0.8 , 1e-9
2023 , 5BZQJ0806+4504 , 08 06 33.47 , +45 04 32.41 , 2.102  , 19.6 , QSO RLoud flat radio sp. , 412 , 0 , 0 , 0
2024 , 5BZQJ0807+5117 , 08 07 01.0 , +51 17 38.68 , 1.136  , 18.1 , QSO RLoud flat radio sp. , 214 , 0 , 0 , 0
2025 , 5BZQJ0808+4052 , 08 08 56.63 , +40 52 44.9 , 1.418  , 19 , QSO RLoud flat radio sp. , 584 , 500 , 0.55 , 0
2026 , 5BZQJ0808+4752 , 08 08 14.7 , +47 52 44.68 , 0.545  , 17.8 , QSO RLoud flat radio sp. , 50 , 0 , 0.4 , 0
2027 , 5BZQJ0808+4950 , 08 08 39.65 , +49 50 36.99 , 1.432  , 18.6 , QSO RLoud flat radio sp. , 1115 , 0 , 0.27 , 0
2028 , 5BZQJ0808+7315 , 08 08 16.37 , +73 15 12.2 , 0.496  , 20.3 , QSO RLoud flat radio sp. , 300 , 0 , 0 , 0
2029 , 5BZQJ0808-0751 , 08 08 15.54 , -07 51 09.9 , 1.837  , 17.8 , QSO RLoud flat radio sp. , 1595 , 0 , 0.88 , 1.5e-8
2030 , 5BZQJ0809+5341 , 08 09 41.71 , +53 41 25.11 , 2.133  , 20.4 , QSO RLoud flat radio sp. , 140 , 0 , 0 , 0
2031 , 5BZQJ0810+3847 , 08 10 09.98 , +38 47 57.58 , 3.946  , 19.8 , QSO RLoud flat radio sp. , 32 , 0 , 0.59 , 0
2032 , 5BZQJ0810+4134 , 08 10 59.0 , +41 34 03.0 , 0.507  , 19.4 , QSO RLoud flat radio sp. , 220 , 0 , 0.33 , 0
2033 , 5BZQJ0811+4533 , 08 11 08.76 , +45 33 48.81 , 1.017  , 18.9 , QSO RLoud flat radio sp. , 81 , 0 , 0.14 , 0
2034 , 5BZQJ0811+4831 , 08 11 37.21 , +48 31 33.99 , 0.703  , 18.1 , QSO RLoud flat radio sp. , 159 , 0 , 0.45 , 0
2035 , 5BZQJ0811+5714 , 08 11 00.6 , +57 14 12.51 , 0.611  , 17.8 , QSO RLoud flat radio sp. , 453 , 0 , 0.78 , 0
2036 , 5BZQJ0812-1810 , 08 12 28.51 , -18 10 42.81 , 2.973  , 20.1 , QSO RLoud flat radio sp. , 488 , 0 , 0 , 0
2037 , 5BZQJ0813+2542 , 08 13 03.83 , +25 42 11.19 , 2.024  , 18.8 , QSO RLoud flat radio sp. , 423 , 0 , 0.18 , 0
2038 , 5BZQJ0814+3237 , 08 14 09.22 , +32 37 32.01 , 0.844  , 18.7 , QSO RLoud flat radio sp. , 256 , 0 , 0.29 , 0
2039 , 5BZQJ0815+3635 , 08 15 25.93 , +36 35 15.21 , 1.028  , 18.4 , QSO RLoud flat radio sp. , 995 , 0 , 0 , 0
2040 , 5BZQJ0819+3226 , 08 19 02.33 , +32 26 37.28 , 2.017 ?  , 20.3 , QSO RLoud flat radio sp. , 194 , 0 , 0.95 , 0
2041 , 5BZQJ0821+5031 , 08 21 53.81 , +50 31 20.89 , 2.133  , 17.8 , QSO RLoud flat radio sp. , 59 , 0 , 0 , 0
2042 , 5BZQJ0821-0323 , 08 21 40.03 , -03 23 12.69 , 2.352  , 18.1 , QSO RLoud flat radio sp. , 565 , 0 , 0 , 0
2043 , 5BZQJ0822+4041 , 08 22 57.54 , +40 41 49.81 , 0.866  , 18.9 , QSO RLoud flat radio sp. , 345 , 342 , 0 , 7e-10
2044 , 5BZQJ0823+2928 , 08 23 41.05 , +29 28 28.19 , 2.368  , 18.8 , QSO RLoud flat radio sp. , 469 , 0 , 0 , 0
2045 , 5BZQJ0824+3916 , 08 24 55.48 , +39 16 41.98 , 1.216  , 17.9 , QSO RLoud flat radio sp. , 1481 , 583 , 1.06 , 4e-10
2046 , 5BZQJ0824+5552 , 08 24 47.23 , +55 52 42.88 , 1.417  , 18.1 , QSO RLoud flat radio sp. , 1449 , 263 , 0.64 , 8e-10
2047 , 5BZQJ0824-1527 , 08 24 51.61 , -15 27 45.89 , 1.289  , 18.9 , QSO RLoud flat radio sp. , 170 , 0 , 0 , 0
2048 , 5BZQJ0825+1332 , 08 25 11.93 , +13 32 32.78 , 1.143  , 19.8 , QSO RLoud flat radio sp. , 224 , 0 , 0 , 0
2049 , 5BZQJ0825+2704 , 08 25 47.39 , +27 04 22.11 , 0.693  , 19.7 , QSO RLoud flat radio sp. , 108 , 0 , 0.38 , 0
2050 , 5BZQJ0825+6157 , 08 25 38.62 , +61 57 28.69 , 0.542  , 17 , QSO RLoud flat radio sp. , 627 , 0 , 0.75 , 0
2051 , 5BZQJ0827+3525 , 08 27 38.59 , +35 25 05.19 , 2.25  , 20.8 , QSO RLoud flat radio sp. , 957 , 0 , 0 , 0
2052 , 5BZQJ0830+2410 , 08 30 52.08 , +24 10 59.91 , 0.939 ?  , 17.1 , QSO RLoud flat radio sp. , 739 , 0 , 1.36 , 1.1e-9
2053 , 5BZQJ0830-0636 , 08 30 49.74 , -06 36 20.01 , 1.73  , 18.8 , QSO RLoud flat radio sp. , 128 , 0 , 0 , 0
2054 , 5BZQJ0831+0847 , 08 31 55.08 , +08 47 43.58 , 0.941  , 19.7 , QSO RLoud flat radio sp. , 95 , 833 , 0.32 , 0
2055 , 5BZQJ0831-2228 , 08 31 09.14 , -22 28 26.79 , 1.599  , 18.6 , QSO RLoud flat radio sp. , 207 , 0 , 0 , 0
2056 , 5BZQJ0833+0350 , 08 33 18.93 , +03 50 32.49 , 0.903  , 19.5 , QSO RLoud flat radio sp. , 238 , 0 , 0 , 0
2057 , 5BZQJ0833+4224 , 08 33 53.88 , +42 24 01.9 , 0.249  , 17 , QSO RLoud flat radio sp. , 249 , 433 , 0.77 , 7e-10
2058 , 5BZQJ0833-7305 , 08 33 43.14 , -73 05 26.19 , 1.989  , 20.7 , QSO RLoud flat radio sp. , 259 , 0 , 0 , 0
2059 , 5BZQJ0834+6019 , 08 34 17.54 , +60 19 47.09 , 0.72  , 19.8 , QSO RLoud flat radio sp. , 190 , 0 , 0.18 , 0
2060 , 5BZQJ0834-2241 , 08 34 44.17 , -22 41 12.8 , 1.064  , 19.9 , QSO RLoud flat radio sp. , 110 , 0 , 0 , 0
2061 , 5BZQJ0835+6835 , 08 35 47.63 , +68 35 12.01 , 1.414  , 18.6 , QSO RLoud flat radio sp. , 88 , 0 , 0 , 0
2062 , 5BZQJ0836+0053 , 08 36 15.81 , +00 53 00.49 , 1.826  , 23.2 , QSO RLoud flat radio sp. , 24 , 0 , 0 , 0
2063 , 5BZQJ0836+2728 , 08 36 22.88 , +27 28 52.6 , 0.765  , 19.6 , QSO RLoud flat radio sp. , 313 , 0 , 0.22 , 0
2064 , 5BZQJ0836+4125 , 08 36 36.9 , +41 25 54.8 , 1.301  , 17.4 , QSO RLoud flat radio sp. , 488 , 0 , 0.87 , 0
2065 , 5BZQJ0836-2016 , 08 36 39.2 , -20 16 59.59 , 2.752  , 18.5 , QSO RLoud flat radio sp. , 1971 , 0 , 0.47 , 0
2066 , 5BZQJ0836-2233 , 08 36 50.76 , -22 33 10.11 , 0.837  , 15.9 , QSO RLoud flat radio sp. , 464 , 393 , 0.71 , 0
2067 , 5BZQJ0837+2454 , 08 37 40.24 , +24 54 22.89 , 1.122  , 18 , QSO RLoud flat radio sp. , 522 , 0 , 0.32 , 0
2068 , 5BZQJ0837+5825 , 08 37 22.42 , +58 25 02.31 , 2.101  , 17.9 , QSO RLoud flat radio sp. , 690 , 0 , 0.11 , 0
2069 , 5BZQJ0839+0104 , 08 39 49.61 , +01 04 26.9 , 1.123  , 18.7 , QSO RLoud flat radio sp. , 422 , 0 , 0.49 , 8e-10
2070 , 5BZQJ0839+5112 , 08 39 46.2 , +51 12 02.8 , 4.403  , 19.4 , QSO RLoud flat radio sp. , 42 , 0 , 0 , 0
2071 , 5BZQJ0841+7053 , 08 41 24.35 , +70 53 42.28 , 2.218  , 16.8 , QSO RLoud flat radio sp. , 3823 , 0 , 5.52 , 7e-10
2072 , 5BZQJ0842+1835 , 08 42 05.1 , +18 35 41.2 , 1.272  , 16.6 , QSO RLoud flat radio sp. , 1260 , 0 , 0.43 , 0
2073 , 5BZQJ0842+4018 , 08 42 03.73 , +40 18 31.5 , 0.152  , 16.6 , QSO RLoud flat radio sp. , 22 , 0 , 2.56 , 0
2074 , 5BZQJ0842+4525 , 08 42 15.35 , +45 25 44.29 , 1.409  , 17.3 , QSO RLoud flat radio sp. , 74 , 0 , 0 , 0
2075 , 5BZQJ0843+3742 , 08 43 52.85 , +37 42 28.29 , 1.741  , 18.9 , QSO RLoud flat radio sp. , 103 , 0 , 0 , 0
2076 , 5BZQJ0845-5555 , 08 45 49.67 , -55 55 26.68 , 0.433  , 19.8 , QSO RLoud flat radio sp. , 0 , 297 , 0 , 0
2077 , 5BZQJ0845-6527 , 08 45 11.34 , -65 27 23.18 , 2.274  , 17.2 , QSO RLoud flat radio sp. , 18 , 0 , 0 , 0
2078 , 5BZQJ0846+0641 , 08 46 49.99 , +06 41 49.2 , 0.616  , 17.3 , QSO RLoud flat radio sp. , 87 , 0 , 0.86 , 0
2079 , 5BZQJ0847-0520 , 08 47 58.74 , -05 20 33.79 , 1.242  , 18.9 , QSO RLoud flat radio sp. , 368 , 0 , 0 , 0
2080 , 5BZQJ0850+5931 , 08 50 10.24 , +59 31 18.01 , 1.71  , 16.6 , QSO RLoud flat radio sp. , 19 , 0 , 0 , 0
2081 , 5BZQJ0850-1213 , 08 50 09.64 , -12 13 35.39 , 0.566  , 18.4 , QSO RLoud flat radio sp. , 323 , 500 , 0.49 , 4.6e-9
2082 , 5BZQJ0852+2833 , 08 52 05.15 , +28 33 59.61 , 1.282  , 19 , QSO RLoud flat radio sp. , 232 , 0 , 0.23 , 0
2083 , 5BZQJ0852+4734 , 08 52 20.52 , +47 34 59.01 , 2.42  , 20.2 , QSO RLoud flat radio sp. , 67 , 0 , 0.71 , 0
2084 , 5BZQJ0853+2813 , 08 53 17.82 , +28 13 50.08 , 0.92  , 18 , QSO RLoud flat radio sp. , 68 , 0 , 0.11 , 0
2085 , 5BZQJ0853-0150 , 08 53 01.32 , -01 50 48.01 , 1.498  , 18.9 , QSO RLoud flat radio sp. , 124 , 0 , 0 , 0
2086 , 5BZQJ0854+5327 , 08 54 17.59 , +53 27 35.31 , 2.418  , 17.2 , QSO RLoud flat radio sp. , 25 , 0 , 0 , 0
2087 , 5BZQJ0854+5757 , 08 54 41.99 , +57 57 29.98 , 1.322  , 17.7 , QSO RLoud flat radio sp. , 1102 , 0 , 0.26 , 0
2088 , 5BZQJ0855-0021 , 08 55 54.47 , -00 21 46.18 , 1.363  , 19.1 , QSO RLoud flat radio sp. , 185 , 0 , 0 , 0
2089 , 5BZQJ0856+1739 , 08 56 56.68 , +17 39 47.91 , 0.516  , 20.7 , QSO RLoud flat radio sp. , 30 , 0 , 0 , 0
2090 , 5BZQJ0856+2111 , 08 56 57.23 , +21 11 43.79 , 2.098  , 19.5 , QSO RLoud flat radio sp. , 396 , 0 , 0 , 0
2091 , 5BZQJ0858-1950 , 08 58 05.35 , -19 50 36.88 , 0.659  , 18.9 , QSO RLoud flat radio sp. , 1226 , 471 , 0.48 , 8e-10
2092 , 5BZQJ0900+4108 , 09 00 21.42 , +41 08 22.88 , 1.629  , 18.4 , QSO RLoud flat radio sp. , 271 , 0 , 0 , 0
2093 , 5BZQJ0900-2808 , 09 00 40.03 , -28 08 20.29 , 2.16  , 18.2 , QSO RLoud flat radio sp. , 1474 , 0 , 0.45 , 0
2094 , 5BZQJ0901+0448 , 09 01 11.86 , +04 48 58.89 , 1.863  , 19.4 , QSO RLoud flat radio sp. , 94 , 0 , 0 , 0
2095 , 5BZQJ0901+6551 , 09 01 46.67 , +65 51 50.0 , 2.072  , 20.6 , QSO RLoud flat radio sp. , 228 , 0 , 0.39 , 0
2096 , 5BZQJ0901-0037 , 09 01 25.84 , -00 37 03.21 , 1.9  , 19.9 , QSO RLoud flat radio sp. , 329 , 0 , 0 , 0
2097 , 5BZQJ0901-0702 , 09 01 44.23 , -07 02 16.11 , 1.738  , 18.3 , QSO RLoud flat radio sp. , 150 , 0 , 0.15 , 0
2098 , 5BZQJ0902+4310 , 09 02 30.91 , +43 10 14.19 , 2.41  , 20.6 , QSO RLoud flat radio sp. , 341 , 0 , 0 , 0
2099 , 5BZQJ0902+5402 , 09 02 19.29 , +54 02 57.3 , 1.682  , 19.2 , QSO RLoud flat radio sp. , 163 , 0 , 0 , 0
2100 , 5BZQJ0902-1415 , 09 02 16.82 , -14 15 30.88 , 1.333  , 16.4 , QSO RLoud flat radio sp. , 2898 , 0 , 0.65 , 0
2101 , 5BZQJ0903+4651 , 09 03 03.99 , +46 51 04.1 , 1.462  , 19 , QSO RLoud flat radio sp. , 1755 , 0 , 0.25 , 4e-10
2102 , 5BZQJ0903+5151 , 09 03 58.56 , +51 51 00.68 , 1.537  , 19.8 , QSO RLoud flat radio sp. , 336 , 0 , 0 , 0
2103 , 5BZQJ0903+6757 , 09 03 53.15 , +67 57 22.71 , 1.499  , 18.6 , QSO RLoud flat radio sp. , 551 , 0 , 0.18 , 0
2104 , 5BZQJ0903-1721 , 09 03 00.01 , -17 21 05.18 , 0.872  , 18.7 , QSO RLoud flat radio sp. , 143 , 0 , 0 , 0
2105 , 5BZQJ0904-2552 , 09 04 52.19 , -25 52 51.81 , 1.635  , 17.4 , QSO RLoud flat radio sp. , 412 , 0 , 0 , 0
2106 , 5BZQJ0905+2849 , 09 05 41.76 , +28 49 28.3 , 1.216  , 18.8 , QSO RLoud flat radio sp. , 200 , 0 , 0 , 0
2107 , 5BZQJ0906+6930 , 09 06 30.75 , +69 30 30.38 , 5.47  , 21.7 , QSO RLoud flat radio sp. , 93 , 0 , 0.11 , 0
2108 , 5BZQJ0906-2019 , 09 06 51.3 , -20 19 54.69 , 0.774  , 17.5 , QSO RLoud flat radio sp. , 606 , 0 , 0.58 , 0
2109 , 5BZQJ0908+4150 , 09 08 35.86 , +41 50 46.21 , 0.733  , 18.6 , QSO RLoud flat radio sp. , 229 , 0 , 0.84 , 0
2110 , 5BZQJ0909+0121 , 09 09 10.08 , +01 21 35.6 , 1.024  , 17.4 , QSO RLoud flat radio sp. , 760 , 917 , 0.69 , 3.2e-9
2111 , 5BZQJ0909+5216 , 09 09 24.67 , +52 16 32.59 , 0.41  , 17.7 , QSO RLoud flat radio sp. , 87 , 0 , 0.55 , 0
2112 , 5BZQJ0909-0231 , 09 09 44.92 , -02 31 30.28 , 0.957  , 18.5 , QSO RLoud flat radio sp. , 625 , 0 , 0.14 , 2e-9
2113 , 5BZQJ0909-7445 , 09 09 20.94 , -74 45 08.1 , 1.238  , 18.6 , QSO RLoud flat radio sp. , 626 , 0 , 0 , 0
2114 , 5BZQJ0910+2248 , 09 10 42.12 , +22 48 35.6 , 2.661  , 20.9 , QSO RLoud flat radio sp. , 108 , 0 , 0.09 , 1.2e-9
2115 , 5BZQJ0912+4126 , 09 12 11.6 , +41 26 09.31 , 2.563  , 20.3 , QSO RLoud flat radio sp. , 346 , 0 , 0 , 5e-10
2116 , 5BZQJ0914+0245 , 09 14 37.91 , +02 45 59.18 , 0.427  , 19.5 , QSO RLoud flat radio sp. , 442 , 379 , 0.36 , 0
2117 , 5BZQJ0915+0007 , 09 15 51.7 , +00 07 13.29 , 3.074  , 20.6 , QSO RLoud flat radio sp. , 355 , 0 , 0 , 0
2118 , 5BZQJ0916+3854 , 09 16 48.9 , +38 54 28.18 , 1.267  , 18.4 , QSO RLoud flat radio sp. , 1005 , 444 , 0.19 , 4e-10
2119 , 5BZQJ0917-2131 , 09 17 27.01 , -21 31 34.5 , 0.847  , 17.6 , QSO RLoud flat radio sp. , 651 , 0 , 0.27 , 0
2120 , 5BZQJ0918+0636 , 09 18 24.37 , +06 36 53.31 , 4.217 ?  , 19.9 , QSO RLoud flat radio sp. , 31 , 0 , 0 , 0
2121 , 5BZQJ0920+4441 , 09 20 58.45 , +44 41 53.98 , 2.19  , 17.9 , QSO RLoud flat radio sp. , 1017 , 1429 , 1.04 , 9.1e-9
2122 , 5BZQJ0920-2956 , 09 20 43.19 , -29 56 30.29 , 0.465  , 16.8 , QSO RLoud flat radio sp. , 366 , 0 , 0.94 , 0
2123 , 5BZQJ0921+6215 , 09 21 36.23 , +62 15 52.19 , 1.446  , 18.7 , QSO RLoud flat radio sp. , 946 , 472 , 0 , 8e-10
2124 , 5BZQJ0921+7136 , 09 21 23.94 , +71 36 12.38 , 0.594  , 19 , QSO RLoud flat radio sp. , 490 , 0 , 0.34 , 0
2125 , 5BZQJ0921-2618 , 09 21 29.34 , -26 18 43.41 , 2.3  , 18.2 , QSO RLoud flat radio sp. , 1290 , 544 , 0 , 0
2126 , 5BZQJ0922-0529 , 09 22 23.67 , -05 29 07.18 , 0.974  , 16.9 , QSO RLoud flat radio sp. , 490 , 0 , 0.44 , 0
2127 , 5BZQJ0923+2815 , 09 23 51.52 , +28 15 25.09 , 0.744  , 19.1 , QSO RLoud flat radio sp. , 273 , 783 , 0 , 6e-10
2128 , 5BZQJ0924+0309 , 09 24 14.7 , +03 09 00.79 , 0.128  , 16.2 , QSO RLoud flat radio sp. , 25 , 0 , 0.92 , 0
2129 , 5BZQJ0925+0019 , 09 25 07.81 , +00 19 13.9 , 1.72  , 17.2 , QSO RLoud flat radio sp. , 736 , 0 , 0 , 0
2130 , 5BZQJ0925+1658 , 09 25 49.96 , +16 58 12.21 , 1.545  , 17 , QSO RLoud flat radio sp. , 90 , 0 , 1.42 , 0
2131 , 5BZQJ0926+4029 , 09 26 00.42 , +40 29 49.7 , 1.879  , 20.1 , QSO RLoud flat radio sp. , 285 , 0 , 0 , 0
2132 , 5BZQJ0927+3902 , 09 27 03.0 , +39 02 20.9 , 0.695  , 16.6 , QSO RLoud flat radio sp. , 2885 , 3597 , 2.13 , 0
2133 , 5BZQJ0927-2034 , 09 27 51.82 , -20 34 51.2 , 0.348  , 16 , QSO RLoud flat radio sp. , 842 , 1052 , 2.36 , 6e-10
2134 , 5BZQJ0928+4446 , 09 28 24.13 , +44 46 04.8 , 1.904  , 18.3 , QSO RLoud flat radio sp. , 170 , 0 , 0 , 0
2135 , 5BZQJ0930+0034 , 09 30 52.25 , +00 34 58.9 , 1.771  , 19.4 , QSO RLoud flat radio sp. , 297 , 0 , 0 , 0
2136 , 5BZQJ0930+4644 , 09 30 35.08 , +46 44 08.59 , 2.032  , 18.6 , QSO RLoud flat radio sp. , 356 , 0 , 0.47 , 0
2137 , 5BZQJ0932+5306 , 09 32 41.15 , +53 06 33.8 , 0.597  , 18.8 , QSO RLoud flat radio sp. , 482 , 0 , 0 , 0
2138 , 5BZQJ0932-2016 , 09 32 19.59 , -20 16 37.2 , 1.236  , 18.8 , QSO RLoud flat radio sp. , 271 , 0 , 0 , 0
2139 , 5BZQJ0932-3405 , 09 32 36.48 , -34 05 58.48 , 0.936 ?  , 18.6 , QSO RLoud flat radio sp. , 338 , 0 , 0.22 , 0
2140 , 5BZQJ0933+4615 , 09 33 09.31 , +46 15 35.49 , 0.778  , 18.4 , QSO RLoud flat radio sp. , 29 , 0 , 0.18 , 0
2141 , 5BZQJ0933-0819 , 09 33 17.1 , -08 19 10.88 , 0.903  , 19 , QSO RLoud flat radio sp. , 316 , 0 , 0 , 0
2142 , 5BZQJ0934+4908 , 09 34 15.76 , +49 08 21.69 , 2.582  , 19.1 , QSO RLoud flat radio sp. , 801 , 0 , 0 , 0
2143 , 5BZQJ0935-3332 , 09 35 09.23 , -33 32 37.71 , 2.906  , 18.9 , QSO RLoud flat radio sp. , 236 , 0 , 0 , 0
2144 , 5BZQJ0937+5008 , 09 37 12.32 , +50 08 52.11 , 0.276  , 18.8 , QSO RLoud flat radio sp. , 167 , 0 , 0.83 , 5e-10
2145 , 5BZQJ0938-0708 , 09 38 56.09 , -07 08 00.59 , 1.281  , 19.9 , QSO RLoud flat radio sp. , 235 , 0 , 0 , 0
2146 , 5BZQJ0939+4141 , 09 39 49.61 , +41 41 54.2 , 1.224  , 18.7 , QSO RLoud flat radio sp. , 245 , 0 , 0 , 0
2147 , 5BZQJ0941+2728 , 09 41 48.11 , +27 28 38.78 , 1.305  , 18.9 , QSO RLoud flat radio sp. , 177 , 0 , 0 , 5e-10
2148 , 5BZQJ0941-1335 , 09 41 02.54 , -13 35 51.0 , 0.551  , 18.4 , QSO RLoud flat radio sp. , 290 , 0 , 0 , 0
2149 , 5BZQJ0941-8615 , 09 41 55.61 , -86 15 01.8 , 3.697  , 20 , QSO RLoud flat radio sp. , 81 , 0 , 0 , 0
2150 , 5BZQJ0942+6403 , 09 42 03.9 , +64 03 11.3 , 0.952  , 20.2 , QSO RLoud flat radio sp. , 75 , 0 , 0 , 0
2151 , 5BZQJ0943+1702 , 09 43 17.22 , +17 02 18.88 , 1.598  , 20.9 , QSO RLoud flat radio sp. , 290 , 0 , 0 , 0
2152 , 5BZQJ0945+4636 , 09 45 42.09 , +46 36 50.61 , 0.639  , 20.8 , QSO RLoud flat radio sp. , 472 , 0 , 0 , 0
2153 , 5BZQJ0946+1017 , 09 46 35.05 , +10 17 06.1 , 1.007  , 19.2 , QSO RLoud flat radio sp. , 411 , 0 , 0 , 1e-9
2154 , 5BZQJ0947-7731 , 09 47 51.49 , -77 31 35.29 , 2.528  , 18.3 , QSO RLoud flat radio sp. , 183 , 0 , 0 , 0
2155 , 5BZQJ0948+0022 , 09 48 57.31 , +00 22 25.5 , 0.585  , 18.4 , QSO RLoud flat radio sp. , 70 , 549 , 2.99 , 2.2e-9
2156 , 5BZQJ0948+4039 , 09 48 55.33 , +40 39 44.6 , 1.249  , 17.6 , QSO RLoud flat radio sp. , 1600 , 685 , 0.25 , 4e-10
2157 , 5BZQJ0948-3223 , 09 48 09.51 , -32 23 47.4 , 2.14  , 16.7 , QSO RLoud flat radio sp. , 467 , 0 , 0 , 0
2158 , 5BZQJ0949+1752 , 09 49 39.76 , +17 52 49.29 , 0.693  , 17.4 , QSO RLoud flat radio sp. , 259 , 0 , 0.27 , 0
2159 , 5BZQJ0951-2123 , 09 51 43.55 , -21 23 57.98 , 0.547  , 18.9 , QSO RLoud flat radio sp. , 247 , 0 , 0.24 , 0
2160 , 5BZQJ0952+3512 , 09 52 32.03 , +35 12 52.41 , 1.876  , 19.4 , QSO RLoud flat radio sp. , 333 , 0 , 0 , 0
2161 , 5BZQJ0952+5048 , 09 52 27.3 , +50 48 50.61 , 1.091  , 17.6 , QSO RLoud flat radio sp. , 86 , 0 , 0.1 , 0
2162 , 5BZQJ0952-2453 , 09 52 31.64 , -24 53 50.89 , 2.625  , 19.1 , QSO RLoud flat radio sp. , 210 , 0 , 0 , 0
2163 , 5BZQJ0953+1720 , 09 53 59.22 , +17 20 56.61 , 0.713  , 18.2 , QSO RLoud flat radio sp. , 121 , 0 , 0.36 , 0
2164 , 5BZQJ0953+3225 , 09 53 27.95 , +32 25 51.59 , 1.57  , 17.4 , QSO RLoud flat radio sp. , 141 , 0 , 0.39 , 0
2165 , 5BZQJ0955+4532 , 09 55 39.83 , +45 32 17.01 , 0.259  , 16.7 , QSO RLoud flat radio sp. , 53 , 0 , 1.04 , 0
2166 , 5BZQJ0955-1845 , 09 55 14.68 , -18 45 31.89 , 2.914  , 17.2 , QSO RLoud flat radio sp. , 128 , 0 , 0 , 0
2167 , 5BZQJ0956+2515 , 09 56 49.87 , +25 15 16.09 , 0.712  , 17.9 , QSO RLoud flat radio sp. , 1080 , 499 , 0.5 , 1.3e-9
2168 , 5BZQJ0957+5522 , 09 57 38.17 , +55 22 57.79 , 0.896  , 17.6 , QSO RLoud flat radio sp. , 3079 , 502 , 0.51 , 1.12e-8
