ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
79 , 5BZBJ0127-0013 , 01 27 50.82 , -00 13 46.59 , 0.44  , 19.4 , BL Lac , 7 , 0 , 0.14 , 0
80 , 5BZBJ0127-0151 , 01 27 11.06 , -01 51 53.78 , 0  , 19 , BL Lac Candidate , 17 , 0 , 0.3 , 0
81 , 5BZBJ0127-0821 , 01 27 16.31 , -08 21 28.9 , 0.36 ?  , 18.7 , BL Lac , 112 , 0 , 0.11 , 0
82 , 5BZBJ0127-8108 , 01 27 10.2 , -81 08 20.68 , 0  , 16.7 , BL Lac , 1075 , 0 , 6.76 , 0
83 , 5BZBJ0131+6120 , 01 31 07.23 , +61 20 33.39 , 0  , 18.8 , BL Lac , 20 , 0 , 4.25 , 2.7e-9
84 , 5BZBJ0133-4414 , 01 33 06.36 , -44 14 21.4 , 0  , 18.1 , BL Lac , 65 , 0 , 0 , 5e-10
85 , 5BZBJ0134+2638 , 01 34 28.19 , +26 38 42.9 , 0  , 17 , BL Lac , 31 , 0 , 0.91 , 9e-10
86 , 5BZBJ0136+3905 , 01 36 32.58 , +39 05 59.2 , 0  , 15.5 , BL Lac , 60 , 0 , 9.6 , 4.5e-9
87 , 5BZBJ0137+5814 , 01 37 50.46 , +58 14 11.29 , 0  , 18.1 , BL Lac , 171 , 0 , 3.82 , 1.1e-9
88 , 5BZBJ0138-1754 , 01 38 11.69 , -17 54 13.6 , 0.53  , 19.8 , BL Lac , 17 , 0 , 0.13 , 0
89 , 5BZBJ0140-0758 , 01 40 40.86 , -07 58 49.11 , 0  , 18.6 , BL Lac , 25 , 0 , 5.51 , 0
